SMILES,CP
*CC(*)c1cc(Br)ccc1OC(C)C,1292.54
*CC(*)c1cc(Br)ccc1OCCCCC,1344.93
*CC(*)c1cc(Br)ccc1OCCC(C)C,1346.2
*CC(*)c1cc(C)cc(C)c1,1451.86
*CC(*)c1ccc(C)c(C)c1,1451.86
*CC(*)c1ccc(Cl)c(C)c1,1202.33
*CC(*)c1ccc(Cl)c(Cl)c1,1011.69
*CC(*)c1ccc(Cl)c(F)c1,1154.44
*CC(*)c1c(C)cc(C)cc1C,1555.65
*CC(*)c1cc(C)c(C)cc1C,1555.65
*CC(*)c1c(F)c(F)c(F)c(F)c1F,1460.19
*CC(*)(C)c1ccccc1,1346.28
*CC(*)(C)c1ccc(C(C)C)cc1,1489.38
*C(F)(F)C(*)(F)c1ccccc1,1282.76
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,1424.72
*CC(*)c1cccc2ccccc12,1155.03
*CC(*)c1ccc(C(C)=O)cc1,1314.13
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,1433.85
*CC(*)(C(=O)OC)c1ccccc1,1310.03
*CC(*)(C)c1ccc(C)cc1,1419.33
*C(c1ccccc1)C(*)[N+](=O)[O-],1287.73
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,1304.93
*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1,1271.99
*CC(*)c1ccc2ccccc2c1,1155.03
*CC(*)c1ccncc1,1199.87
*CC(*)c1cccc(C)n1,1278.85
*CC(*)c1ccc(C)nc1,1278.85
*CC(*)n1cc2ccccc2n1,1217.63
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,1167.92
*CC(*)c1ccc(O)cc1,1267.31
*CC(*)c1ccc(OC(C)=O)cc1,1324.21
*CC(*)c1ccc(CCC)cc1,1450.47
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,1408.71
*CC(*)c1ccc(COCC(CC)CCCC)cc1,1585
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,1607.44
