SMILES,ALPHA
*Oc1ccc(C2(c3ccc(OC(=O)C(C)(C)C(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,53.057
*Nc1ccc(*)cc1CCCCCCCCCCCCCCC,38.506
*CCCCNC(=O)CCCCCCCC(=O)NCCCCNC(=O)C(=O)N*,40.017
*c1ccc(*)c2nc(CCCCCCC)c(CCCCCCC)nc12,42.247
*/C=C/c1ccc(*)c(-c2ccc(OCC(CC)CCCC)c3ccccc23)c1,48.448
*Oc1ccc(NC(=O)CCCCCCCCCC(=O)Nc2ccc(*)cc2)cc1,43.887
*CCCCCCCCCCC(c1ccc(O)cc1)C(*)c1ccc(O)cc1C,44.617
*c1ccc(NC(=O)Nc2ccc(NC(=O)Nc3ccc(-c4nc(C#N)c(C#N)nc4*)cc3)cc2)cc1,59.859
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)CCCCCC(*)=O)c(C)c2)cc1C,47.627
*CCCCCCCCC(=O)NCCCCCCNC(=O)CCCCO*,39.831
*/C=C/C=C/C=C/c1cc(CCCCCCC)c(*)cc1CCCCCCC,51.944
*Oc1ccc(C(c2ccccc2)(c2ccccc2)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,59.223
*CC(*)CCCCCCCCCCCCCCCCCC,36.115
*CCCCCCCCCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O*,41.02
*CCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,37.74
*Oc1ccc(C2(c3ccc(OC(=O)c4ccc(C(*)=O)cc4)cc3)c3ccccc3C(=O)c3ccccc32)cc1,60.949
*CC(*)(C)C(=O)OCCOCCOCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,51.961
*CC(*)(C)C(=O)OCCCCCCc1ccc(/N=N/c2ccc(OC(F)(F)F)cc2)cc1,48.151
*c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2cc(*)ccc2-3)cc1,55.092
*/C=C/CCCCCCCCCC(Cl)CCCCCCCCC*,39.062
*CCCCCCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,42.397
*CCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,45.844
*Oc1ccc(C2(c3ccc(OC(=O)CCCCC(*)=O)cc3)c3ccccc3C(=O)c3ccccc32)cc1,56.358
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,38.509
*CCCCCCCCCCCCCCCCCCCCOC(=O)CC(=O)O*,42.644
*CCCCCCCCCNC(=O)CCCCCCCCCC(=O)N*,39.02
*CCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,41.821
*CCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,42.202
*CCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,38.908
*Cc1ccc(CNC(=O)CCCCCCCCCCCCC(=O)N*)cc1,41.944
*c1ccc(*)c2nc(-c3ccc(-c4ccccc4)cc3)c(-c3ccc(-c4ccccc4)cc3)nc12,61.372
