SMILES,TD
*CC(*)(C)C(=O)Oc1cccc(C)c1,1.22
*CC(*)(C)C(=O)Oc1ccccc1,1.49
*CC(*)(C)C(N)=O,1.03
*CC(*)(C)CC,1.28
*CC(*)(C)CCC,1.35
*CC(*)(C)c1ccc(Br)cc1,0.981
*CC(*)(C)c1ccc(C(C)C)cc1,1.73
*CC(*)(C)c1ccc(C)cc1,1.45
*CC(*)(C)c1ccc(F)cc1,1.11
*CC(*)(C)c1ccccc1,1.48
*CC(*)(CC(=O)OC)C(=O)OC,1.09
*CC(*)(CC(=O)OCC)C(=O)OCC,1.23
*CC(*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,1.32
*CC(*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,1.32
*CC(*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,1.34
*CC(*)(CC(=O)Oc1ccccc1C)C(=O)Oc1ccccc1C,1.3
*CC(*)(CF)C(=O)OC,0.995
*CC(*)(Cl)C(=O)OC(C)CC,1.32
*CC(*)(Cl)C(=O)OC1CCCCC1,1.05
*CC(*)(Cl)C(=O)OCCCC,1.26
*CC(*)(F)C#N,1.11
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.628
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.55
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.615
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.622
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,0.603
*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.586
*CC(*)(OC(C)=O)c1ccc(OC(=O)CCC)cc1,1.35
*CC(*)(OC(C)=O)c1ccc(OC(=O)OC)cc1,1.37
*CC(*)C(=O)C1CCCCC1,1.48
*CC(*)C(=O)N(C(C)C)C(C)C,1.48
*CC(*)C(=O)N(CC=C)c1c(C)cccc1C,1.3
*CC(*)C(=O)N(CCCC)CCCC,1.49
*CC(*)C(=O)N(O)c1ccc(C)cc1,1.52
*CC(*)C(=O)N(O)c1cccc(C)c1,1.41
*CC(*)C(=O)N(O)c1ccccc1C,1.44
*CC(*)C(=O)N1CCCCC1,1.45
*CC(*)C(=O)NC(C)C,1.58
*CC(*)C(=O)NCCCCCC(=O)O,1.64
*CC(*)C(=O)NCCCCCCCC/C=C/CCCCCCCC,2.14
*CC(*)C(=O)NCCCCCCCCCCCC,2.41
*CC(*)C(=O)NCCCCCCCCCCCCCCCC,2.18
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCCCCCC,2.55
*CC(*)C(=O)O,1.33
*CC(*)C(=O)OC,1.44
*CC(*)C(=O)OC(CCC(CC)CCCC)CC(C)C,1.67
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,0.713
*CC(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,1.22
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.512
*CC(*)C(=O)OCCC#N,1.36
*CC(*)C(=O)OCCCCCCCCCCCCCC,2.22
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,2.5
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,2.61
*CC(*)C(=O)OCCCCCCCCCCOc1ccc(C(=O)O)cc1,1.79
*CC(*)C(=O)OCCCCCCCCCCOc1cccc(C(=O)O)c1,1.91
