SMILES,MU
*CC(*)CC(CC)CC,0.02736091
*CC(*)C(=O)Oc1ccccc1C,1.411870142
*CC(*)c1ccc(COC)cc1,1.165903421
*CC(*)CCC(C)(C)C,0.077046967
*CC(*)C(=O)OCc1ccc(C#N)cc1,3.83270159
*CC(*)c1ccc(OCC)cc1,1.271010982
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,4.412598356
*CC(*)(C)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.642396112
*CC(*)C(=O)Oc1ccc(OC)cc1,2.114330174
*N=C1C=CC(=NC2=CC(=O)C(*)=CC2=O)C=C1,2.04667799
*CC(*)c1cccc(OC(C)=O)c1,1.296863905
*CC(*)c1ccc(/C(C)=N/O)cc1,0.656404691
*CCCCCCOCO*,0.341495542
*CC(*)C(=O)c1ccc(CC)cc1,3.149809357
*CC(*)C(=O)Oc1ccc(Cl)c(C)c1,2.646035904
*Oc1ccc(/N=N/c2ccc(*)cc2)cc1,1.485492262
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,4.142794801
*CC(*)c1ccc(N(C)C)cc1,0.916008676
*CC(*)C(=O)OCC(C)CC,1.823029346
*CCOC(=S)c1cccc(C(=S)O*)c1,6.35949682
*Nc1ccc(*)cc1-c1ccccc1,1.498548723
*CC(*)(C)C(=O)OC(C)CC,1.892545849
*CC(*)C(=O)OCC(C)(C)C,1.81828305
*CC(*)C(=O)OC(CC)CC,1.855813963
*CC(*)(C)C(=O)OCCCC,1.7681255
*CC(*)(C)C(=O)OC(C)(C)C,1.754935607
*C1CC2C3CCC(C3)C2C1*,0.102073912
*CC(*)C(=O)C1CCCCC1,2.565289033
*CC(*)C1CCC(C)CC1,0.125217793
*CC(COc1ccccc1C)O*,1.41143135
*/C=C/C(C)CCCCC*,0.411331034
*C1C(=O)N(c2ccc(C)cc2)C(=O)C1*,1.100086887
*CC(*)c1cc(C)c(C)cc1C,0.100693
*Oc1c(C)cc(*)cc1-c1ccccc1,1.931121032
*CC(*)CC1CCCCC1,0.108881161
*CC(*)C(=O)Oc1ccc(C)cc1,1.457548219
*CC(*)Cc1ccc(C)c(C)c1,0.41476535
*CC(*)CNc1ccc([N+](=O)[O-])cc1,7.302665586
*CC(*)CCc1ccccc1C,0.555146227
*CC(*)c1c(C)cc(C)cc1C,0.287201232
*CC(*)C(=O)OCCC(C)C,1.723333084
*CC(*)c1ccc(CCC#C)cc1,0.492805102
*CC(*)c1ccc(CCC)cc1,0.063822179
*CC(*)c1cc(OC)ccc1OC,0.327887811
*CC(*)c1ccc(OC)c(OC)c1,0.510633525
*CC(*)Cc1cc(C)ccc1C,0.312395383
*CC(*)c1ccccc1C(=O)OCC,1.221955155
*CC(*)c1ccc(C(C)C)cc1,0.069357685
*CC(*)c1cccc(NC(C)=O)c1,3.066828553
*CC(*)CCc1ccc(C)cc1,0.146526799
*Oc1ccc(Cc2ccc(*)cc2)cc1,1.402086131
*CC(*)Cc1cc(C)cc(C)c1,0.128966097
*CC(*)C1CCCC(C)C1,0.112938272
*CC(*)C(=O)Oc1cccc(C)c1,1.437333846
*c1cc(OCC)c(*)cc1OCC,2.316556265
*CCCCCCNC(=O)N*,3.613836841
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,3.14159044
*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,5.929291548
*CC(*)OC(=O)CC1CCCC1,1.759043308
*CCc1cc(OC)c(*)cc1OC,2.218302363
*CC(*)(C)C(=O)OCCOCC,2.800621684
*CC(*)(Cl)C(=O)OC1CCCCC1,2.452610615
*CCN(*)C(=O)c1ccc(OC)cc1,2.83419082
*c1cc(/N=N/c2ccc(C#N)cc2)cc(*)c1O,5.98945594
*CC(*)(C)C(=O)OCc1ccccc1,2.047487608
*CCC(=O)OC(=O)CCc1ccc(*)o1,3.083799105
*Cc1ccc(CN/C(C)=N/*)cc1,2.845822264
*c1cc(*)c(O)c(/C=N/c2ccc(Cl)cc2)c1,2.465902183
*CC(*)C(=O)OCCC(C)OC,2.385112717
*CC(*)C(=O)OC1CCCCC1,1.782708498
*CCCCCCCC(=O)N*,3.508223191
*Nc1ccc(*)cc1C(C)CC,1.469442343
*CC(*)C(=O)N(O)c1cccc(C)c1,2.894288422
*CC(C)S/C(=N\c1ccccc1)S*,2.062978741
*CC(*)C(=O)N(O)c1ccc(C)cc1,3.815041817
*CC(*)C(=O)OCCCCSC,1.690263131
*CC(*)C(=O)c1ccc(OCC)cc1,3.005399871
*CC(*)c1ccccc1COCC,1.428317419
*CC(*)C(=O)OCCCSCC,3.13814383
*CC(*)(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,2.935290308
*c1ccc(Sc2ccc(S(*)(=O)=O)cc2)cc1,5.909585796
*CC(*)(C)C(=O)OCc1ccccc1Cl,3.043173565
*CC(*)c1ccc(-c2ccccc2)cc1,0.406102415
*Oc1ccc(/N=N/c2ccc(C(*)=O)cc2)cc1,4.742587172
*CCCCSSCCCSS*,3.695641042
*CC(*)(C)C(=O)Oc1ccccc1C,1.439253877
*CC(*)c1ccc(OCCC)cc1,1.265001852
*CC(*)n1c2ccccc2c2ccccc21,1.838960884
*CC(C)(C)C1C(=O)N(C)C(=O)C1*,1.70699527
*CC(*)C(=O)OCCc1ccccc1,1.750197448
*CC(CC)(C(=O)O*)c1ccccc1,1.424873421
*Nc1ccc(*)cc1OCCCC,0.83254388
*CCCCC(C)CC(=O)N*,3.358605934
*CC(*)c1ccc(C(C)(C)O)cc1,1.494939895
*Cc1ccc(-c2ccc(C(=O)O*)cc2)cc1,2.55117585
*/C=C(/*)CNS(=O)(=O)Cc1ccccc1,3.345090414
*CCc1ccc(-c2ccc(*)cc2)cc1,0.401063227
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],6.979455056
*CC(*)c1ccc(C(=O)N(C)C)cc1,3.650182783
*OC(c1ccc(Cl)cc1)C(C)(C)C(*)=O,2.367438172
*CC(*)(C)C(=O)OCC1CCCO1,3.083899838
*C1C(=O)N(C2CCCCC2)C(=O)C1*,1.273165572
*CCCCCCSCCS*,2.189540162
*c1cc(CCCc2ccccc2)c(*)s1,0.643896849
*/C=C/C(C(=O)OC)C(*)c1ccccc1,1.545098737
*CC(*)(C)C(=O)Oc1ccc([N+](=O)[O-])cc1,5.575669997
*CC1CCC(COC(=O)O*)CC1,1.006019941
*CC(*)CCCC(C)(C)C,0.077833479
*/C=C(/*)c1c(F)c(F)c(CCCC)c(F)c1F,0.659504397
*CC(*)c1ccccc1C(=O)N(C)C,3.484592023
*CC(*)(C)C(=O)OCCN(C)C,1.963138089
*/C=C(/*)CNS(=O)(=O)c1ccc(C)cc1,4.519671405
*C(c1ccccc1)C(*)(C#N)C(=O)OCC,3.120768842
*CC(c1ccccc1)c1ccc(*)cc1,0.138485521
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,3.350824036
*CCCCCCCC(*)C,0.061001981
*CC(*)C(=O)Oc1cccc2ccccc12,1.495311994
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,8.821652211
*CC(*)CCCCCCC,0.076795034
*CCC/C=C(/*)c1ccc(OC)cc1,1.186547362
*CC(*)C(=O)OCC(CC)CC,1.853603333
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,7.243857151
*CC(*)C(=O)OCC(C)CCC,1.924846891
*CC(*)(C)C(=O)OCCCCC,1.953503038
*CC(*)(C)C(=O)Oc1ccc(CC#N)cc1,3.9473603
*CC(COc1c(C)cccc1C)O*,1.328482286
*CC(*)C(=O)OCCCCCC,1.954872621
*Oc1c(C)cc(CC(*)C=C)cc1C,1.320798429
*c1ccc(-c2ccc(*)c(C)c2)cc1C,0.517147484
*CC(*)(C)C(=O)OCC(C)(C)C,1.870233204
*CC(*)(C)C(=O)OCCS(=O)CC,2.817534629
*CC(*)(C)c1ccc(C(C)C)cc1,0.026247805
*CC(*)C(=O)OC(C)CC(C)C,1.908823951
*CC(*)C(=O)OCCCSCCC#N,5.163985601
*Oc1cc(C)c(CC(*)C=C)cc1C,1.567839141
*CCCOC(=O)N1CCC(*)CC1,2.310770371
*CC(*)CCC1CCCCC1,0.077966044
*CC(*)c1ccc(C(C)(C)C)cc1,0.068882341
*CC(*)(CC(=O)OCC)C(=O)OCC,3.013077423
*CC(*)c1ccc(CCCC)cc1,0.101135783
*CC(*)(C)C(=O)OC1CCCCC1,1.848118148
*/C=C/CCCCCCCC*,0.453749374
*CC(*)c1ccc(C(C)CC)cc1,0.083696223
*CC(*)(C)C(=O)Oc1ccc(C#N)cc1,5.575848666
