SMILES,RHO
*C1Nc2ccc(C)cc2C1*,0.966333
*C1OC(C(F)(F)F)(C(F)(F)F)OC1(*)F,0.187103
*C1OCCCC1C1C(=O)OC(=O)C1*,1.181516
*C1OCOC(C(*)(F)F)C1(F)F,1.408208
*C1Oc2ccccc2C1*,1.103633
*C1c2cccc3cccc(c23)C1*,0.973757
*CC#CC#CCOc1ccc(-c2ccc(O*)cc2)cc1,1.098492913
*CC#CC#CCOc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,1.047109467
*CC#CCOC(=O)CCCCCCCCC(=O)O*,1.019111
*CC(*)(C#N)C(=O)OC,1.098351
*CC(*)(C#N)C(=O)OC(C)C,0.968728
*CC(*)(C#N)C(=O)OCC,0.989564
*CC(*)(C#N)C(=O)OCC(C)C,0.906391
*CC(*)(C#N)C(=O)OCCCC,0.98531
*CC(*)(C#N)C(=O)OCCCCCC,0.394783
*CC(*)(C#N)C(=O)OCCCCCCC,0.937386
*CC(*)(C(=O)OC(C)(C)C)C(F)(F)F,0.96281
*CC(*)(C(=O)OC)c1ccccc1,0.965699
*CC(*)(C)C(=O)NC(=O)OC(C)COc1ccc(S(=O)(=O)c2ccc(OCC(C)O)cc2)cc1,1.165191
*CC(*)(C)C(=O)NC(=O)OCCOc1c(Br)cc(S(=O)(=O)c2cc(Br)c(OCCO)c(Br)c2)cc1Br,1.769777
*CC(*)(C)C(=O)NC(=O)OCCOc1ccc(S(=O)(=O)c2ccc(OCCO)cc2)cc1,1.226059
*CC(*)(C)C(=O)NC(=O)Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,1.270065
*CC(*)(C)C(=O)NCC,0.876516
*CC(*)(C)C(=O)O,1.144433
*CC(*)(C)C(=O)OC,0.945665
*CC(*)(C)C(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1.232457
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,1.334628
*CC(*)(C)C(=O)OC(C)(C)C,0.836557
*CC(*)(C)C(=O)OC(C)C,0.851339
*CC(*)(C)C(=O)OC(C)C(C)(C)C,0.832114
*CC(*)(C)C(=O)OC(C)C(F)(F)F,1.086142
*CC(*)(C)C(=O)OC(C)CC,0.87734
*CC(*)(C)C(=O)OC(C)OCCCl,1.10794
*CC(*)(C)C(=O)OC(C)OCCOc1ccccc1,1.075630228
*CC(*)(C)C(=O)OC(C)Oc1ccc(OC)cc1,1.059263076
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,1.276853
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,1.251649
*CC(*)(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.453554
*CC(*)(C)C(=O)OC(OCC)C(F)(F)F,1.128342
*CC(*)(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,0.915479
*CC(*)(C)C(=O)OC12CC3CC(CC(C3)C1)C2,0.884144
*CC(*)(C)C(=O)OC1CC(C)CC(C)(C)C1,0.762153
*CC(*)(C)C(=O)OC1CC2CCC1(C)C2(C)C,0.869132
*CC(*)(C)C(=O)OC1CCC(C(C)(C)C)CC1,0.857236
*CC(*)(C)C(=O)OC1CCC(Cl)CC1,0.897358
*CC(*)(C)C(=O)OC1CCCC1,0.921607
*CC(*)(C)C(=O)OC1CCCCC1C,0.87685
*CC(*)(C)C(=O)OC1CCCCC1Cl,0.982222
*CC(*)(C)C(=O)OC1CCOCC1,0.962571
*CC(*)(C)C(=O)OCC#C,0.999656
*CC(*)(C)C(=O)OCC#N,1.067938
*CC(*)(C)C(=O)OCC(=O)Nc1cc(C)on1,1.154621
*CC(*)(C)C(=O)OCC(C)(C)C1OCC(C)(C)CO1,0.889501
*CC(*)(C)C(=O)OCC(C)O,0.983826
*CC(*)(C)C(=O)OCC(CC)CCCC,0.89877
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,1.490733
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.477859
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,1.456595
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,1.410903
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,1.327026
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)F,1.278058
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,1.256426
*CC(*)(C)C(=O)OCC(F)(F)F,1.146693
*CC(*)(C)C(=O)OCC(O)CO,1.024334
*CC(*)(C)C(=O)OCC=C,0.9521
*CC(*)(C)C(=O)OCCC,0.914795
*CC(*)(C)C(=O)OCCC#N,1.0612
*CC(*)(C)C(=O)OCCCCCCCCCC,0.889378
*CC(*)(C)C(=O)OCCCCCCCCCCCC,0.878393
*CC(*)(C)C(=O)OCCCCCCCCCCCCCC,0.869421
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC,0.860331
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.855104
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,1.01913587
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(/N=N/c2ccc(Cl)cc2)cc1,1.058745023
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(/N=N/c2ccc(F)cc2)cc1,1.033092581
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(/N=N/c2ccc(OC)cc2)cc1,1.017769585
*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(/N=N/c2ccccc2)cc1,1.003848618
*CC(*)(C)C(=O)OCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,1.030289557
*CC(*)(C)C(=O)OCCCCCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,1.046501663
*CC(*)(C)C(=O)OCCCCCCN(C)c1ccc(/N=N/c2ccc(S(C)(=O)=O)cc2)cc1,1.104929438
*CC(*)(C)C(=O)OCCCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,1.060842508
*CC(*)(C)C(=O)OCCCCCCOc1ccc(/N=N/c2ccc(OC)cc2)cc1,1.053056822
*CC(*)(C)C(=O)OCCCCCCOc1ccc(/N=N/c2ccc(OCCCC)cc2)cc1,1.015236799
*CC(*)(C)C(=O)OCCCCCCc1ccc(/N=N/c2ccc(OC(F)(F)F)cc2)cc1,1.116309692
*CC(*)(C)C(=O)OCCCCCc1ccc(/N=N/c2ccc(OC(F)(F)F)cc2)cc1,1.135270811
*CC(*)(C)C(=O)OCCCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,1.077263358
*CC(*)(C)C(=O)OCCCCc1ccc(/N=N/c2ccc(OC(F)(F)F)cc2)cc1,1.156110792
*CC(*)(C)C(=O)OCCCCl,1.105988
*CC(*)(C)C(=O)OCCCc1ccc(/N=N/c2ccc(OC(F)(F)F)cc2)cc1,1.154354849
*CC(*)(C)C(=O)OCCN(C)c1ccc(/N=N/c2cc(Cl)ccc2Cl)cc1,1.195677009
*CC(*)(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.479887
*CC(*)(C)C(=O)OCCN(CC)c1ccc(/N=N/c2ccc(C#N)cc2)cc1,1.071969314
*CC(*)(C)C(=O)OCCN(CC)c1ccc(/N=N/c2ccc(OC)cc2)c(C)c1,1.049293466
*CC(*)(C)C(=O)OCCN(CC)c1ccc(/N=N/c2ccc(S(C)(=O)=O)cc2)cc1,1.130934947
*CC(*)(C)C(=O)OCCO,0.977173
*CC(*)(C)C(=O)OCCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.571937
*CC(*)(C)C(=O)OCCOCCO,1.083028
*CC(*)(C)C(=O)OCCOCCOCCOCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,1.120432561
*CC(*)(C)C(=O)OCCOCCOCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,1.124258818
*CC(*)(C)C(=O)OCCOCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,1.127562844
*CC(*)(C)C(=O)OCCO[N+](=O)[O-],1.224382
*CC(*)(C)C(=O)OCCOc1ccc(/N=N/c2ccc(C#N)cc2)cc1,1.103068871
*CC(*)(C)C(=O)OCCOc1ccc(/N=N/c2ccc(OC)cc2)cc1,1.106028192
*CC(*)(C)C(=O)OCCS(=O)(=O)c1ccc(/N=N/c2ccc(N(CC)CC)cc2)cc1,1.097122841
*CC(*)(C)C(=O)OCCc1ccc(/N=N/c2ccccc2)cc1,1.076922725
*CC(*)(C)C(=O)OCc1c(Cl)cccc1Cl,1.273421
*CC(*)(C)C(=O)OCc1cc(Cl)cc(Cl)c1,1.264333
*CC(*)(C)C(=O)OCc1cc(Cl)ccc1Cl,1.264555
*CC(*)(C)C(=O)OCc1ccc(Cl)c(Cl)c1,1.22282
*CC(*)(C)C(=O)OCc1ccc(Cl)cc1Cl,1.269587
*CC(*)(C)C(=O)OCc1ccc(F)cc1F,1.21033
*CC(*)(C)C(=O)OCc1cccc(Cl)c1,1.158001
*CC(*)(C)C(=O)OCc1cccc(Cl)c1Cl,1.233562
*CC(*)(C)C(=O)OCc1cccc([N+](=O)[O-])c1,1.168279
*CC(*)(C)C(=O)OCc1ccccc1Cl,1.152222
*CC(*)(C)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.381987
*CC(*)(C)C(=O)Oc1c(F)c(F)c(F)c(F)c1F,1.320221
*CC(*)(C)C(=O)Oc1cc(C)cc(C)c1,0.962834
*CC(*)(C)C(=O)Oc1ccc(/N=N/c2ccc(C#N)cc2)cc1,1.112526478
*CC(*)(C)C(=O)Oc1ccc(/N=N/c2ccc(OC)cc2)cc1,1.103853158
*CC(*)(C)C(=O)Oc1ccc(C#N)cc1,1.105332
*CC(*)(C)C(=O)Oc1ccc(C(=O)O)cc1,1.159612
*CC(*)(C)C(=O)Oc1ccc(C(=O)OC)cc1,1.086602
*CC(*)(C)C(=O)Oc1ccc(C(C)=O)c(O)c1,1.113313
*CC(*)(C)C(=O)Oc1ccc(C)cc1,0.970783
*CC(*)(C)C(=O)Oc1ccc(CC#N)cc1,1.071311
*CC(*)(C)C(=O)Oc1ccc([N+](=O)[O-])cc1,1.207533
*CC(*)(C)C(=O)Oc1cccc(C)c1,0.995853
*CC(*)(C)C(=O)Oc1cccc2cccnc12,1.083887
*CC(*)(C)C(=O)Oc1ccccc1,1.033233
*CC(*)(C)C(=O)Oc1ccccc1[N+](=O)[O-],1.178054
*CC(*)(C)C(N)=O,1.126064
*CC(*)(C)CC,0.787206
*CC(*)(C)CCC,0.755176
*CC(*)(C)OC,0.846389
*CC(*)(C)c1ccc(Br)cc1,1.283043975
*CC(*)(C)c1ccc(C#N)cc1,0.920226
*CC(*)(C)c1ccc(C(C)C)cc1,0.801757
*CC(*)(C)c1ccc(C(O)C(F)(F)F)cc1,1.138519
*CC(*)(C)c1ccc(C)cc1,0.837591
*CC(*)(C)c1ccc(F)cc1,0.9672
*CC(*)(C)c1ccc2ccccc2c1,0.906678
*CC(*)(C)c1ccc2ccccc2n1,0.978191
*CC(*)(C)c1ccccc1,0.887
*CC(*)(C)c1ncncn1,1.010628
*CC(*)(CC(=O)OC)C(=O)O,1.171726
*CC(*)(CC(=O)OC)C(=O)OC,1.042838
*CC(*)(CC(=O)OC1CCCC1)C(=O)O,0.980035
*CC(*)(CC(=O)OCC)C(=O)O,1.037627
*CC(*)(CC(=O)OCC)C(=O)OCC,0.978993
*CC(*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,0.959968
*CC(*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,0.970686
*CC(*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,1.098475
*CC(*)(CC(=O)Oc1ccccc1C)C(=O)Oc1ccccc1C,1.057749
*CC(*)(CCC(C)C(=O)OC)C(=O)OC,0.956569
*CC(*)(CCC)C(=O)OC,0.846742
*CC(*)(CF)C(=O)OC,1.043559
*CC(*)(Cl)C#N,1.30243
*CC(*)(Cl)C(=O)OC,1.193321
*CC(*)(Cl)C(=O)OC(C)CC,1.030381
*CC(*)(Cl)C(=O)OC1CCCCC1,0.991365
*CC(*)(Cl)C(=O)OCCCC,1.086651
*CC(*)(Cl)Cl,1.534068
*CC(*)(F)C#N,1.259888
*CC(*)(F)C(=O)OC,1.158133
*CC(*)(F)C(=O)OCC,1.099709
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.567989916
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.570747068
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.601312661
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.531665
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,1.49577
*CC(*)(F)C(=O)OCC(F)(F)C(F)F,1.452036
*CC(*)(F)C(=O)OCC(F)(F)F,1.389716
*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.501387
*CC(*)(F)C(C)=O,1.081776
*CC(*)(F)C(F)(F)F,1.393634
*CC(*)(F)Cl,1.512842
*CC(*)(OC(C)=O)c1ccc(OC(=O)CCC)cc1,1.028859
*CC(*)(OC(C)=O)c1ccc(OC(=O)OC)cc1,1.080114
*CC(*)(OC(C)=O)c1ccc(OC(C)=O)cc1,1.088032
*CC(*)/C=C/C,0.797956
*CC(*)C(=O)C1CCCCC1,0.925145
*CC(*)C(=O)N(C(C)C)C(C)C,0.830386
*CC(*)C(=O)N(CC=C)c1c(C)cccc1C,0.977296
*CC(*)C(=O)N(CCCC)CCCC,0.877937
