SMILES,TG
*CC(*)OC(=O)C(C)(C)C(C)C(C)C,328.15
*CC(*)OC(=O)C(C)(C)CC(C)(C)C,328.15
*CC(*)OC(=O)c1cccnc1,359.65
*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1,366.15
*CC(*)OC(F)(C(F)(F)F)C(F)(F)F,338.15
*CC(*)OC(=O)CCl,293.6
*CC(*)c1cccs1,344.15
*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,250.15
*CC(*)OC(=O)C1CCCC1,309.15
*CC(*)OC(=O)C1(C)CCCCC1,359.15
*CC(*)P(=O)(c1ccccc1)c1ccccc1,400.65
*CC(*)P(=O)(OCC)N(C)C,305.15
*CC(*)P(=O)(Oc1ccccc1)N(C)C,300.15
*CC(*)c1nc(C)nc(C)n1,343.15
*C1Cc2ccccc2C1*,461.65
*CC(OC)C1C(=O)OC(=O)C1*,426.65
*CC(OC)C(C(=O)O)C(*)C(=O)O,417.15
*CCC/C=C(/*)c1ccc(OC)cc1,284.15
*CCC/C=C(/*)c1ccccc1,273.15
*CCC/C=C(/*)c1ccc(Cl)cc1,289.15
*/C(C)=C(/*)[Si](C)(C)C,348.15
*/C(C)=C(/*)c1ccc([Si](C)(C)C)cc1,268.15
*CC(*)CNc1ccc([N+](=O)[O-])cc1,417.15
*CC(*)CNc1ccc([N+](=O)[O-])cn1,424.15
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,424.15
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,426.15
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],433.15
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,287.65
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,303.65
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,297.15
*CC(*)n1ccnc1,448.15
*CC/C=C(/*)[Sn](CCCC)(CCCC)CCCC,193.15
*C(F)(F)C(*)(F)OC(F)C(F)F,308.15
*CC(*)C(=O)c1ccc(Br)cc1,374.65
*CC(*)OC(=O)CC1CCCC1,270.15
*CC(*)N1CCCC1=O,431.15
*CCC1CC2C(CC(*)C2OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,296.65
*CC(*)C(=O)O,388.15
*CC(*)C(=O)OC,283.15
*CC(*)C(=O)OCC,253.15
*CC(*)C(=O)OCCC,234.65
*CC(*)C(=O)OC(C)C,268.15
*CC(*)C(=O)OCCCC,224.15
*CC(*)C(=O)OCC(C)C,298.15
*CC(*)C(=O)OC(C)CC,253.15
*CC(*)C(=O)OC(C)(C)C,313.15
*CC(*)C(=O)OCCCCCC,216.15
*CC(*)C(=O)OCCCCCCC,213.15
*CC(*)C(=O)OCCCCCCCC,208.15
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,230.65
*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C,373.15
*CC(*)C(=O)OCC(F)(F)F,276.25
*CC(*)C(=O)OCC(F)(F)C(F)(F)F,247.15
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,315.45
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,283.15
*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F,251.15
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,243.15
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,236.15
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234.15
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,256.15
*CC(*)C(=O)OCCOC,239.15
*CC(*)C(=O)OCCOCC,223.15
*CC(*)C(=O)OCCCOC,206.65
*CC(*)C(=O)OCCCOCC,211.65
*CC(*)C(=O)OCCOCC(F)(F)F,235.15
*CC(*)C(=O)OCCOC(F)(F)C(F)F,251.15
*CC(*)C(=O)OCCOCC(F)(F)C(F)(F)C(F)(F)F,228.15
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,218.15
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,224.15
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,205.15
*CC(*)(C)C(=O)O,434.85
*CC(*)(C)C(=O)OC,381.15
*CC(*)(C)C(=O)OCC,339.15
*CC(*)(C)C(=O)OCCC,316.15
*CC(*)(C)C(=O)OC(C)C,358.15
*CC(*)(C)C(=O)OCCCC,298.15
*CC(*)(C)C(=O)OC(C)CC,333.15
*CC(*)(C)C(=O)OC(C)(C)C,380.15
*CC(*)(C)C(=O)OCCCCCC,268.15
*CC(*)(C)C(=O)OCCCCCCCC,262.15
*CC(*)(C)C(=O)OCCCCCCCCCCCC,225.25
*CC(*)(C)C(=O)OCCCCCCCCCCCCCC,201.15
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,173.15
*CC(*)(C)C(=O)OC1CCCCC1,361.15
*CC(*)(C)C(=O)OC1CCCCC1C,358.15
*CC(*)(C)C(=O)OC1CCC(C)CC1,382.15
*CC(*)(C)C(=O)OC1CCCC(C)C1,362.15
*CC(*)(C)C(=O)OC1CC(C)CC(C)(C)C1,398.15
*CC(*)(C)C(=O)Oc1ccccc1,383.15
*CC(*)(C)C(=O)OCc1ccccc1,327.15
*CC(*)(C)C(=O)OCCc1ccccc1,322.15
*CC(*)(C)C(=O)OCCF,363.15
*CC(*)(C)C(=O)OCCCl,336.15
*CC(*)(C)C(=O)OCCBr,325.15
*CC(*)(C)C(=O)OCC(F)(F)F,348.15
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,353.15
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,348.15
*CC(*)(C)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,383.15
*CC(*)(C)C(=O)OCc1ccccc1Cl,327.25
*CC(*)(C)C(=O)OCCO,364.35
*CC(*)(C)C(=O)OCCOCC,257.15
*CC(*)(C)C(=O)OCC1CCCO1,378.15
*CC(*)(C)C(=O)OCc1ccco1,384.15
*CC(*)(C)C(=O)OCCN(C)C,301.77
*CC(*)(C)C(=O)OCCN(CC)CC,299.15
*CC(*)(Cl)C(=O)OC,398.15
*CC(*)(Cl)C(=O)OCC,357.15
*CC(*)C(N)=O,466.15
*CC(*)C(=O)NC(C)C,407.77
*CC(*)C(=O)OC(CC)CC,267.15
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,238.15
*CC(*)C(=O)OCC(CC)CCCC,211.15
*CC(*)C(=O)OCCCCCCCCC,184.15
*CC(*)C(=O)OC1CCCCC1,298.15
*CC(*)C(=O)OC1CC(C)CC(C)(C)C1,288.15
*CC(*)(C)C(=O)OCCCCCCCCCC,208.65
*CC(*)(C)C(=O)OC1CC2CCC1(C)C2(C)C,453.65
*CC(*)(Cl)C(=O)OCCC,339.15
